ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
1922,860251,-4.94256,860251,51,860251,62280,860249,
2048,860255,-4.865679999999999,860255,51,860255,62240,860256,
1988,860269,-4.94256,860269,51,860269,62322,860267,
1961,860271,-5.0194399999999995,860271,51,860271,62342,860272,
2287,860301,-4.94256,860301,51,860301,62382,860301,
2145,860321,-4.865679999999999,860321,51,860321,62473,860321,
2133,860327,-4.94256,860327,51,860327,62473,860321,
2052,860329,-5.0194399999999995,860329,51,860329,62493,860329,
1994,860367,-4.94256,860367,50,860367,62609,860361,
1808,860371,-4.711919999999999,860371,51,860371,62633,860371,
1832,860377,-4.94256,860377,50,860377,62633,860371,
1950,860379,-4.865679999999999,860379,51,860379,62660,860379,
1993,860391,-4.94256,860391,52,860391,62669,860391,
2000,860427,-4.94256,860427,50,860427,62652,860421,
3017,860461,-4.94256,860461,51,860461,62723,860461,
2537,860469,-4.865679999999999,860469,51,860469,62733,860469,
2280,860471,-4.94256,860471,51,860471,62714,860471,
2153,860519,-4.865679999999999,860519,51,860519,62765,860520,
2189,860521,-4.94256,860521,50,860521,62765,860520,
2147,860525,-4.94256,860525,51,860525,62765,860520,
1945,860529,-4.94256,860529,51,860529,62769,860529,
1878,860531,-4.94256,860531,51,860531,62769,860529,
2075,860537,-5.0194399999999995,860537,51,860537,62820,860537,
2081,860547,-4.865679999999999,860547,50,860547,62828,860547,
2033,860549,-4.94256,860549,51,860549,62781,860549,
2025,860551,-4.865679999999999,860551,50,860551,62781,860549,
2132,860595,-4.94256,860595,51,860595,62892,860589,
2186,860599,-4.94256,860599,51,860599,62923,860599,
2010,860611,-4.94256,860611,51,860611,62932,860609,
2057,860615,-4.94256,860615,52,860615,62932,860609,
2113,860617,-4.865679999999999,860617,51,860617,62942,860617,
2186,860619,-4.94256,860619,51,860619,62957,860619,
2224,860641,-4.865679999999999,860641,51,860641,62981,860639,
2327,860661,-4.865679999999999,860661,51,860661,62967,860659,
2059,860667,-4.94256,860667,51,860667,62942,860667,
1990,860669,-4.865679999999999,860669,51,860669,62896,860669,
2349,860681,-4.94256,860681,51,860681,62632,860682,
2348,860685,-4.865679999999999,860685,52,860685,62632,860682,
2231,860689,-4.94256,860689,52,860689,62520,860687,
2121,860719,-4.865679999999999,860719,51,860719,62043,860717,
1867,860747,-4.865679999999999,860747,50,860747,61916,860742,
1826,860789,-4.865679999999999,860789,51,860789,61946,860789,
1961,860811,-4.94256,860811,52,860811,62014,860811,
2048,860817,-4.865679999999999,860817,52,860817,62014,860811,
2144,860821,-4.94256,860821,51,860821,62030,860821,
2136,860827,-4.865679999999999,860827,51,860827,62030,860821,
2118,860829,-4.865679999999999,860829,51,860829,62044,860829,
1979,860841,-4.94256,860841,51,860841,62055,860841,
2017,860847,-4.865679999999999,860847,51,860847,62055,860841,
2026,860851,-4.94256,860851,51,860851,62096,860851,
2150,860887,-4.865679999999999,860887,51,860887,62142,860881,
